variant,component_correlation,delta,n,distribution,effect_size,rejection_rate_mean,rejection_rate_std,indeterminate_rate_mean,indeterminate_rate_std,type1_error_mean,type1_error_std,power_mean,power_std,avg_successful_sims
modified,independent,0.25,1000,normal,0.0,0.04,0.01788854381999832,0.039999999999999994,0.012649110640673518,0.04,0.01788854381999832,,,100.0
original,moderate,0.25,1000,normal,0.0,0.052000000000000005,0.019390719429665318,0.0,0.0,0.052000000000000005,0.019390719429665318,,,100.0
modified,moderate,0.25,1000,normal,0.0,0.032,0.011661903789690602,0.04,0.01264911064067352,0.032,0.011661903789690602,,,100.0
original,strong,0.25,1000,normal,0.0,0.042,0.027129319932501072,0.0,0.0,0.042,0.027129319932501072,,,100.0
modified,strong,0.25,1000,normal,0.0,0.033999999999999996,0.0265329983228432,0.022,0.016,0.033999999999999996,0.0265329983228432,,,100.0
original,independent,0.25,1000,normal,0.5,1.0,0.0,0.0,0.0,,,1.0,0.0,100.0
modified,independent,0.25,1000,normal,0.5,1.0,0.0,0.0,0.0,,,1.0,0.0,100.0
original,moderate,0.25,1000,normal,0.5,1.0,0.0,0.0,0.0,,,1.0,0.0,100.0
modified,moderate,0.25,1000,normal,0.5,1.0,0.0,0.0,0.0,,,1.0,0.0,100.0
original,strong,0.25,1000,normal,0.5,1.0,0.0,0.0,0.0,,,1.0,0.0,100.0
modified,strong,0.25,1000,normal,0.5,1.0,0.0,0.0,0.0,,,1.0,0.0,100.0
